id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,tempat_umum,jumlah_tempat_umum,satuan,tahun
228,32,JAWA BARAT,3205,KABUPATEN GARUT,SMA,188,UNIT,2019
229,32,JAWA BARAT,3205,KABUPATEN GARUT,PUSKESMAS,65,UNIT,2019
230,32,JAWA BARAT,3205,KABUPATEN GARUT,RUMAH SAKIT,6,UNIT,2019
231,32,JAWA BARAT,3205,KABUPATEN GARUT,HOTEL BINTANG,0,UNIT,2019
232,32,JAWA BARAT,3205,KABUPATEN GARUT,HOTEL NON BINTANG,0,UNIT,2019
233,32,JAWA BARAT,3205,KABUPATEN GARUT,TEMPAT IBADAH,0,UNIT,2019
234,32,JAWA BARAT,3205,KABUPATEN GARUT,PASAR,0,UNIT,2019
235,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SD,803,UNIT,2019
236,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SMP,235,UNIT,2019
237,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SMA,146,UNIT,2019
238,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PUSKESMAS,40,UNIT,2019
239,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,RUMAH SAKIT,2,UNIT,2019
240,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,HOTEL BINTANG,0,UNIT,2019
241,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,HOTEL NON BINTANG,0,UNIT,2019
242,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TEMPAT IBADAH,1047,UNIT,2019
243,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PASAR,2,UNIT,2019
244,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SD,635,UNIT,2019
245,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SMP,130,UNIT,2019
246,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SMA,80,UNIT,2019
247,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PUSKESMAS,37,UNIT,2019
248,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RUMAH SAKIT,5,UNIT,2019
